type,count,group,name,switch,led,id
# faders
fader,7,strip,gain,1,0,0x00
fader,1,master,gain,1,0,0x07

# pots
pot,7,strip,vpot,1,1,0x10
pot,1,,jog,1,0,0x17
pot,1,,external,1,0,0x2e

# strip buttons
button,7,strip,recenable,1,1,0x18
button,7,strip,solo,1,1,0x20
button,7,strip,mute,1,1,0x10
button,7,strip,select,1,1,0x0
button,7,strip,vselect,1,0,0x08

# overlay buttons
button,1,assignment,io,1,1,0x28
button,1,assignment,sends,1,1,0x5a
button,1,assignment,pan,1,1,0x59
button,1,assignment,plugin,1,1,0x57
button,1,assignment,eq,1,1,0x58
button,1,assignment,dyn,1,1,0x2d
button,1,bank,left,1,0,0x2e
button,1,bank,right,1,0,0x2f
button,1,bank,channel_left,1,0,0x30
button,1,bank,channel_right,1,0,0x31
button,1,,flip,1,1,0x32
button,1,,edit,1,1,0x56

button,1,display,name_value,1,0,0x34
button,1,display,smpte_beats,1,0,0x35
button,1,,F1,1,0,0x36
button,1,,F2,1,0,0x37
button,1,,F3,1,0,0x38
button,1,,F4,1,0,0x39
button,1,,F5,1,0,0x3a
button,1,,F6,1,0,0x3b
button,1,,F7,1,0,0x3c
button,1,,F8,1,0,0x3d
button,1,,F9,1,0,0x3e
button,1,,F10,1,0,0x3f
button,1,,F11,1,0,0x40
button,1,,F12,1,0,0x41
button,1,,F13,1,0,0x42
button,1,,F14,1,0,0x43
button,1,,F15,1,0,0x44
button,1,,F16,1,0,0x45
# turn on/off all solos
button,1,,global_solo,1,0,0x27
button,1,modifiers,option,1,0,0x47
button,1,modifiers,cmd_alt,1,0,0x49
button,1,automation,on,1,1,0x4a
button,1,automation,rec_ready,1,1,0x4b
button,1,functions,undo,1,1,0x4c
button,1,automation,snapshot,1,1,0x4d
button,1,functions,redo,1,1,0x4f
button,1,functions,marker,1,1,0x50
button,1,functions,enter,1,1,0x51
button,1,functions,cancel,1,0,0x52
button,1,functions,mixer,1,0,0x53

# transport buttons
button,1,transport,frm_left,1,1,0x5b
button,1,transport,frm_right,1,1,0x5c
button,1,transport,loop,1,1,0x46
button,1,transport,punch_in,1,1,0x48
button,1,transport,punch_out,1,1,0x4e
button,1,transport,home,1,1,0x2a
button,1,transport,end,1,1,0x29
button,1,transport,"rewind",1,1,0x2c
button,1,transport,"ffwd",1,1,0x2b
button,1,transport,"stop",1,1,0x5d
button,1,transport,"play",1,1,0x5e
button,1,transport,"record",1,1,0x1f
button,1,cursor,"cursor_up",1,0,0x60
button,1,cursor,"cursor_down",1,0,0x61
button,1,cursor,"cursor_left",1,0,0x62
button,1,cursor,"cursor_right",1,0,0x63
button,1,,"zoom",1,1,0x64
button,1,,"scrub",1,1,0x65
button,1,user,"user_a",1,0,0x66
button,1,user,"user_b",1,0,0x67

button,7,strip,"fader_touch",1,0,0x68
button,1,master,"fader_touch",1,0,0x6f
button,1,master,mute,1,0,0x17
button,1,,clicking,1,1,0x33

button,1,,"smpte",0,1,0x71
button,1,,"beats",0,1,0x72
button,1,,"solo",0,1,0x73
button,1,,"relay_click",0,1,0x76
